,Timestamp,Machine,Temperature,Pressure,PartLength,PartResistance
1,2022-03-08 00:00:00,1,303,100,48.83797958,6.309488993
2,2022-03-08 00:00:05,1,303,100,49.81412809,5.857441005
3,2022-03-08 00:00:10,1,303,100,49.16562199,6.057376463
4,2022-03-08 00:00:15,1,303,100,48.25670524,6.190160186
5,2022-03-08 00:00:20,1,303,100,48.32744177,6.629097091
6,2022-03-08 00:00:25,1,303,100,49.16495757,6.89047484
7,2022-03-08 00:00:30,1,303,100,48.24982164,5.904336893
8,2022-03-08 00:00:35,1,303,100,47.85556244,5.919485247
9,2022-03-08 00:00:40,1,303,100,48.2499622,6.187110932
10,2022-03-08 00:00:45,1,303,100,48.49667926,5.97899477
11,2022-03-08 00:00:50,1,303,100,48.04970776,6.377870404
12,2022-03-08 00:00:55,1,303,100,49.39815978,6.705021528
13,2022-03-08 00:01:00,1,303,100,47.40701489,6.917619484
14,2022-03-08 00:01:05,1,303,100,48.3754024,6.229603849
15,2022-03-08 00:01:10,1,303,100,48.11096226,6.558091131
16,2022-03-08 00:01:15,1,303,100,48.39085078,6.845047918
17,2022-03-08 00:01:20,1,303,100,48.20446599,6.703427982
18,2022-03-08 00:01:25,1,303,100,48.98612304,6.172351343
19,2022-03-08 00:01:30,1,303,100,48.73489978,6.29933229
20,2022-03-08 00:01:35,1,303,100,48.44601325,6.703225732
21,2022-03-08 00:01:40,1,303,100,47.78996462,6.021160128
22,2022-03-08 00:01:45,1,303,100,48.05865554,6.792282988
23,2022-03-08 00:01:50,1,303,100,47.34359605,7.058269651
24,2022-03-08 00:01:55,1,303,100,48.60086787,6.252463721
25,2022-03-08 00:02:00,1,303,100,48.85674123,6.691957409
26,2022-03-08 00:02:05,1,303,100,48.34760976,6.240115048
27,2022-03-08 00:02:10,1,303,100,48.86116742,6.126419229
28,2022-03-08 00:02:15,1,303,100,49.10300321,6.757427876
29,2022-03-08 00:02:20,1,303,100,50.09596678,6.359265289
30,2022-03-08 00:02:25,1,303,100,47.91610179,6.214880525
31,2022-03-08 00:02:30,1,303,100,48.61547352,6.230682658
32,2022-03-08 00:02:35,1,303,100,48.79477855,6.327984203
33,2022-03-08 00:02:40,1,303,100,48.58876774,5.94241382
34,2022-03-08 00:02:45,1,303,100,48.26530553,6.866522163
35,2022-03-08 00:02:50,1,303,100,50.37169705,5.760021885
36,2022-03-08 00:02:55,1,303,100,49.90236564,6.580575208
37,2022-03-08 00:03:00,1,303,100,48.40211155,6.621606937
38,2022-03-08 00:03:05,1,303,100,48.30555573,7.023370244
39,2022-03-08 00:03:10,1,303,100,48.98326165,6.233436584
40,2022-03-08 00:03:15,1,303,100,49.32609446,6.219928857
41,2022-03-08 00:03:20,1,303,100,47.5326587,6.567109431
42,2022-03-08 00:03:25,1,303,100,48.27556614,6.881874288
43,2022-03-08 00:03:30,1,303,100,48.60898156,6.124844743
44,2022-03-08 00:03:35,1,303,100,48.47954272,6.265604808
45,2022-03-08 00:03:40,1,303,100,48.8521946,6.290934724
46,2022-03-08 00:03:45,1,303,100,47.34596724,6.798421878
47,2022-03-08 00:03:50,1,303,100,48.57718069,6.154333133
48,2022-03-08 00:03:55,1,303,100,47.73750715,6.300465157
49,2022-03-08 00:04:00,1,303,100,48.68464934,5.926401624
50,2022-03-08 00:04:05,1,303,100,48.32419238,6.249157176
51,2022-03-08 00:04:10,1,303,100,47.30618352,5.594847797
52,2022-03-08 00:04:15,1,303,100,49.56025848,6.550562819
53,2022-03-08 00:04:20,1,303,100,48.65330173,6.176900476
54,2022-03-08 00:04:25,1,303,100,48.49047908,6.744488703
55,2022-03-08 00:04:30,1,303,100,49.94671613,6.273604092
56,2022-03-08 00:04:35,1,303,100,49.01433882,6.430544216
57,2022-03-08 00:04:40,1,303,100,48.38525555,6.259035663
58,2022-03-08 00:04:45,1,303,100,49.05894368,6.481019295
59,2022-03-08 00:04:50,1,303,100,47.97125142,6.851732831
60,2022-03-08 00:04:55,1,303,100,48.26650016,6.539288541
61,2022-03-08 00:05:00,1,303,100,48.07271978,6.603966132
62,2022-03-08 00:05:05,1,303,100,48.36203083,6.188224248
63,2022-03-08 00:05:10,1,303,100,47.90830636,6.043574483
64,2022-03-08 00:05:15,1,303,100,48.2177604,6.645895771
65,2022-03-08 00:05:20,1,303,100,48.33927795,6.324789149
66,2022-03-08 00:05:25,1,303,100,48.99412325,6.365122023
67,2022-03-08 00:05:30,1,303,100,48.9662474,6.572891374
68,2022-03-08 00:05:35,1,303,100,48.39907215,6.960676877
69,2022-03-08 00:05:40,1,303,100,47.48242831,7.051003154
70,2022-03-08 00:05:45,1,303,100,48.2727792,6.113722845
71,2022-03-08 00:05:50,1,303,100,48.39720864,5.970502417
72,2022-03-08 00:05:55,1,303,100,49.60253728,6.184358849
73,2022-03-08 00:06:00,1,303,100,49.21118554,6.043667206
74,2022-03-08 00:06:05,1,303,100,48.6775668,6.425734425
75,2022-03-08 00:06:10,1,303,100,49.06743479,6.665240386
76,2022-03-08 00:06:15,1,303,100,49.29556646,6.568034814
77,2022-03-08 00:06:20,1,303,100,49.01939328,6.595966663
78,2022-03-08 00:06:25,1,303,100,48.25860932,6.484444591
79,2022-03-08 00:06:30,1,303,100,48.89004352,6.013272852
80,2022-03-08 00:06:35,1,303,100,48.99412086,6.392575642
81,2022-03-08 00:06:40,1,303,100,48.94128245,5.670773871
82,2022-03-08 00:06:45,1,303,100,49.17090448,6.539362178
83,2022-03-08 00:06:50,1,303,100,49.15677704,6.409501697
84,2022-03-08 00:06:55,1,303,100,49.07493731,6.651401542
